o-xylene,p-xylene,0.43
benzofuran,indene,1.87
benzene,n-butylbenzene,4.42
benzene,indole,4.04
p-xylene,indole,2.23
benzene,isobutylbenzene,2.92
isobutylbenzene,o-xylene,12353680933.23
benzene,o-xylene,0.69
o-xylene,indole,2.92
isobutylbenzene,p-xylene,0.62
benzene,benzofuran,1.88
indene,indole,1.78
n-butylbenzene,indene,-150463438764.13
benzene,p-xylene,1.31
n-butylbenzene,p-xylene,2.12
o-xylene,indene,1.48
p-xylene,indene,-1641108499293.27
benzofuran,indole,2.61
isobutylbenzene,n-butylbenzene,-0.56
benzene,indene,2.08
